id,illnessName,instGovernedBy,isTypeOf,relatedTo,subRelatedTo
0,Actinic Keratosis,National Cancer Institute,Cancers,Skin Cancer,"[u'Basal Cell Carcinoma', u'Dermatofibrosarcoma Protuberans (DFSP)', u'Eyelid Cancer', u'General Information about Merkel Cell Carcinoma', u'Merkel Cell Carcinoma', u'Nevoid Basal Cell Carcinoma Syndrome', u'Sebaceous Carcinoma', u'Skin Cancer of the Hand and Upper Extremity', u'Skin Cancers of the Feet', u'Squamous Cell Carcinoma', u'Actinic keratosis', u'Basal cell carcinoma', u'Basal cell nevus syndrome', u'Mohs micrographic surgery', u'Skin lesion biopsy', u'Skin self-exam', u'Squamous cell skin cancer', u'Melanoma', u'Skin Conditions', u'Sun Exposure']"
1,Acute Lymphoblastic Leukemia,National Cancer Institute,Cancers,Acute Lymphocytic Leukemia,"[u'Acute lymphocytic leukemia (ALL)', u'After chemotherapy - discharge', u'B and T cell screen', u'Bone marrow biopsy', u'Bone marrow transplant', u'Bone marrow transplant - discharge', u'Bone-marrow transplant  - slideshow', u'Cryoglobulins', u'Fibrinopeptide A blood test', u'T-cell count', u'Acute Myeloid Leukemia', u'Childhood Leukemia', u'Chronic Lymphocytic Leukemia', u'Chronic Myeloid Leukemia', u'Leukemia']"
2,Acute Myeloblastic Leukemia,National Cancer Institute,Cancers,Acute Myeloid Leukemia,"[u'Acute myelogenous leukemia (AML) -- children', u'Acute myeloid leukemia', u'After chemotherapy - discharge', u'Bone marrow biopsy', u'Bone marrow transplant', u'Bone marrow transplant - discharge', u'Bone-marrow transplant  - slideshow', u'Cryoglobulins', u'Fibrinopeptide A blood test', u'Acute Lymphocytic Leukemia', u'Childhood Leukemia', u'Chronic Lymphocytic Leukemia', u'Chronic Myeloid Leukemia', u'Leukemia']"
3,Adenoma,National Cancer Institute,Cancers,Benign Tumors,"[u'Benign Liver Tumors', u'Bone Tumor', u'Brain and Spinal Tumors: Hope through Research', u'Chondroblastoma', u'Chondromyxoid Fibroma', u'Chondrosarcoma', u'Craniopharyngioma', u'Enchondroma', u'Extra-Abdominal Desmoid Tumors (Aggressive Fibromatoses)', u'Hand and Wrist Tumors', u'Hemangioma', u'Lipoma', u'Liver Hemangioma', u'Meningioma', u'Multiple Endocrine Neoplasia Type I', u'Osteochondroma (Bone Tumor)', u'Osteoid Osteoma', u'Pituitary Tumors', u'Plantar Fibroma and Plantar Fibromatosis', u'Prolactinoma', u'Recurrent Respiratory Papillomatosis or Laryngeal Papillomatosis', u'Schwannoma', u'Stomach Polyps', u'Synovial Chondromatosis', u'Thyroid Nodules', u'Vocal Cord Nodules, Polyps, and Cysts', u'What Is Castleman Disease?', u'Atrial myxoma', u'Benign ear cyst or tumor', u'Biopsy - polyps', u'Cherry angioma', u'Craniopharyngioma', u'Fibroadenoma - breast', u'Ganglioneuroma', u'Gumma', u'Hemangioma', u'Hemangioma excision  - slideshow', u'Hepatic hemangioma', u'Insulinoma', u'Intestinal leiomyoma', u'Juvenile angiofibroma', u'Lacrimal gland tumor', u'Nasal polyps', u'Open lung biopsy', u'Pyogenic granuloma', u'Sebaceous adenoma', u'Sebaceous cyst', u'Seborrheic keratosis', u'Thyroid nodule', u'Tumor', u'Acoustic Neuroma', u'Colonic Polyps', u'Neurofibromatosis', u'Tuberous Sclerosis', u'Uterine Fibroids']"
4,Adrenal Gland Cancer,National Cancer Institute,Cancers,Adrenal Gland Cancer,"[u'Abdominal MRI', u'Adrenalectomy', u'Adrenocortical carcinoma', u'After chemotherapy - discharge', u'Adrenal Gland Disorders']"
5,Alternative Therapy for Cancer,National Cancer Institute,Cancers,Cancer Alternative Therapies,"[u'714-X (PDQ)', u'Acupuncture (PDQ)', u'Alternative Cancer Treatments: 11 Options to Consider', u'Antineoplastons (PDQ)', u'Aromatherapy and Essential Oils (PDQ)', u'Cancell/Cantron/Protocel (PDQ)', u'Cannabis and Cannabinoids (PDQ)', u'Cartilage (Bovine and Shark) (PDQ)', u'Coenzyme Q10 (PDQ)', u'Essiac/Flor-Essence (PDQ)', u'Gerson Therapy (PDQ)', u'Hydrazine Sulfate (PDQ)', u'Hyperthermia in Cancer Treatment', u'Laetrile/Amygdalin (PDQ)', u'Milk Thistle (PDQ)', u'Mistletoe Extracts (PDQ)', u'Newcastle Disease Virus (PDQ)', u'PC-SPES (PDQ)', u""Selected Vegetables/Sun's Soup (PDQ)"", u'Spirituality in Cancer Care (PDQ)', u'Time to Talk: 6 Things To Know About Massage Therapy for Health Purposes', u'Integrative medicine for cancer treatment', u'Protecting yourself from cancer scams', u'Antioxidants', u'Complementary and Integrative Medicine', u'Herbal Medicine']"
6,Anal Cancer,National Cancer Institute,Cancers,Anal Cancer,"[u'After chemotherapy - discharge', u'Anal cancer', u'Anoscopy', u'Pelvic (between the hips) radiation - discharge', u'Pelvic CT scan', u'Anal Disorders', u'Colorectal Cancer']"
7,Bile Duct Cancer,National Cancer Institute,Cancers,Bile Duct Cancer,"[u'Abdominal MRI', u'Biliary stricture', u'Biopsy - biliary tract', u'Cholangiocarcinoma', u'Endoscopic retrograde cholangio pancreatography (ERCP) - slideshow', u'ERCP', u'Fecal fat', u'Gallbladder radionuclide scan', u'Percutaneous transhepatic cholangiogram', u'Bile Duct Diseases', u'Gallbladder Cancer']"
8,Biopsy,,Cancers,Biopsy,"[u'Biopsy', u'Bone Biopsy', u'Bone Marrow Aspiration and Biopsy', u'Breast Biopsy', u'Celiac Disease Diagnosis: Endoscopic Biopsy', u'Colposcopy', u'Kidney Biopsy', u'Liver Biopsy', u'Needle Biopsy', u'Needle Biopsy of the Lung', u'Sentinel Lymph Node Biopsy', u'Skin Biopsy', u'Ultrasound- and MRI-Guided Prostate Biopsy', u'Ultrasound-Guided Fine Needle Aspiration Biopsy of the Thyroid', u'Abdominal wall fat pad biopsy', u'Biopsy', u'Biopsy - biliary tract', u'Biopsy - polyps', u'Bladder biopsy', u'Bone lesion biopsy', u'Bone marrow biopsy', u'Breast biopsy -- stereotactic', u'Breast biopsy -- ultrasound', u'Carpal tunnel biopsy', u'Cold knife cone biopsy', u'Colposcopy - directed biopsy', u'Culture - duodenal tissue', u'Endometrial biopsy', u'Gastric tissue biopsy and culture', u'Gram stain of tissue biopsy', u'Gum biopsy', u'Kidney biopsy', u'Liver biopsy', u'Lung needle biopsy', u'Lymph node biopsy', u'Mediastinoscopy with biopsy', u'Muscle biopsy', u'Nasal mucosal biopsy', u'Nerve biopsy', u'Open lung biopsy', u'Open pleural biopsy', u'Oropharynx lesion biopsy', u'Parathyroid biopsy', u'Pleural needle biopsy', u'Rectal biopsy', u'Salivary gland biopsy', u'Skin lesion biopsy', u'Synovial biopsy', u'Testicular biopsy', u'Tongue biopsy', u'Upper airway biopsy', u'Ureteral retrograde brush biopsy']"
9,Bladder Cancer,National Cancer Institute,Cancers,Bladder Cancer,"[u'General Information about Transitional Cell Cancer of the Renal Pelvis and Ureter', u'After chemotherapy - discharge', u'Bladder biopsy', u'Bladder cancer', u'Cancer - renal pelvis or ureter', u'Cystoscopy', u'Cytology exam of urine', u'Intravenous pyelogram', u'Pelvic (between the hips) radiation - discharge', u'Pelvic CT scan', u'Pelvis MRI scan', u'Urine - bloody', u'Urostomy - stoma and skin care', u'Bladder Diseases']"
10,Bone Cancer,National Cancer Institute,Cancers,Bone Cancer,"[u'Bone Metastasis', u'General Information about Ewing Sarcoma', u'General Information about Osteosarcoma and Malignant Fibrous Histiocytoma of Bone', u'Metastatic Bone Disease', u'After chemotherapy - discharge', u'Bone lesion biopsy', u'Bone scan', u'Bone tumor', u'Bone x-ray', u'Ewing sarcoma', u'Joint x-ray', u'Osteosarcoma', u'Thoracic spine x-ray', u'Bone Diseases']"
11,Brachytherapy,National Cancer Institute,Cancers,Radiation Therapy,"[u'Brachytherapy', u'External Beam Therapy (EBT)', u'Fiducial Marker Placement', u'Gamma Knife', u'Intensity-Modulated Radiation Therapy (IMRT)', u'Linear Accelerator (LINAC)', u'Proton Therapy', u'Radiation Therapy: Additional Treatment Options', u'Radioimmunotherapy', u'Stereotactic Radiosurgery and Stereotactic Body Radiotherapy (SBRT)', u'Abdominal radiation - discharge', u'Brain radiation - discharge', u'Breast radiation - discharge', u'Chest radiation - discharge', u'Mouth and neck radiation - discharge', u'Oral mucositis', u'Pelvic (between the hips) radiation - discharge', u'Proton therapy', u'Radiation enteritis', u'Radiation therapy', u'Radiation therapy - what to ask your doctor', u'Radiation therapy -- skin care', u'Stereotactic radiosurgery', u'Stereotactic radiosurgery - discharge', u'Stereotactic Radiosurgery - Gamma Knife', u'Diagnostic Imaging']"
12,Brain Cancer,National Cancer Institute,Cancers,Brain Tumors,"[u'Astrocytoma', u'Craniopharyngioma', u'Ependymoma', u'Glioblastoma', u'Glioma', u'Medulloblastoma', u'Meningioma', u'Metastatic Brain Tumor', u'Oligoastrocytoma', u'Oligodendroglioma', u'Tumor Types: Understanding Brain Tumors', u'After chemotherapy - discharge', u'Brain components', u'Brain herniation', u'Brain PET scan', u'Brain radiation - discharge', u'Brain surgery', u'Brain surgery - discharge', u'Brain tumor - primary - adults', u'Cerebral spinal fluid (CSF) collection', u'Craniotomy  - slideshow', u'Head CT scan', u'Head MRI', u'Hypothalamic tumor', u'Metastatic brain tumor', u'Posterior fossa tumor', u'Primary lymphoma of the brain', u'Skull x-ray', u'Stereotactic radiosurgery - discharge', u'Stereotactic Radiosurgery - Gamma Knife', u'Brain Diseases', u'Childhood Brain Tumors']"
13,Breast Cancer,National Cancer Institute,Cancers,Breast Cancer,"[u'Breast Cancer Overview', u'Ductal Carcinoma in Situ (DCIS)', u'Guide to Understanding Triple-Negative Breast Cancer', u'HER2-Positive Breast Cancer: What Is It?', u'Inflammatory Breast Cancer', u'Lobular Carcinoma In Situ (LCIS)', u'Paget Disease of the Breast', u'Recurrent Breast Cancer', u'Understanding a Breast Cancer Diagnosis', u'After chemotherapy - discharge', u'BRCA1 and BRCA2 gene testing', u'Breast biopsy -- stereotactic', u'Breast biopsy -- ultrasound', u'Breast cancer', u'Breast cancer screenings', u'Breast cancer staging', u'Breast lump', u'Breast lump removal - slideshow', u'Breast MRI scan', u'Breast PET scan', u'Breast radiation - discharge', u'Breast self exam', u'Breast ultrasound', u'Chest radiation - discharge', u'Cytology exam of pleural fluid', u'Hormone therapy for breast cancer', u'Lymphatics and the breast', u'Lymphedema', u'Mammography', u'Understanding your breast cancer risk', u'Breast Diseases', u'Breast Reconstruction', u'Male Breast Cancer', u'Mammography', u'Mastectomy']"
14,"Breast Cancer, Male",National Cancer Institute,Cancers,Male Breast Cancer,"[u'After chemotherapy - discharge', u'Breast cancer in men', u'Chest radiation - discharge']"
15,Bronchogenic Carcinoma,National Cancer Institute,Cancers,Lung Cancer,"[u'After chemotherapy - discharge', u'Bronchoscopy', u'Chest MRI', u'Chest radiation - discharge', u'Chest x-ray', u'Coughing up blood', u'Cytology exam of pleural fluid', u'Lung cancer', u'Lung cancer - non-small cell', u'Lung cancer - small cell', u'Lung needle biopsy', u'Lung PET scan', u'Lung surgery', u'Lung surgery - discharge', u'Mediastinoscopy with biopsy', u'Metastatic cancer to the lung', u'Metastatic pleural tumor', u'Open lung biopsy', u'Open pleural biopsy', u'Pleural needle biopsy', u'Pulmonary lobectomy  - slideshow', u'Solitary pulmonary nodule', u'Thoracic CT', u'Lung Diseases', u'Radon', u'Smoking']"
16,Cancer,National Cancer Institute,Cancers,Cancer,"[u'General Information about Extragonadal Germ Cell Tumors', u'Metastatic Cancer', u'Occupational Cancer', u'Cancer', u'Cancer and lymph nodes', u'Cancer prevention: take charge of your lifestyle', u'Cancer treatment -- early menopause', u'Cancer treatment: preventing infection', u'Cancer treatments', u'CEA blood test', u'CSF analysis', u'CSF cell count', u'Diet and cancer', u'Ectopic ADH secretion', u'Genetic testing and your cancer risk', u'How to research cancer', u'How to tell your child that you have cancer', u'Hyperthermia for treating cancer', u'Lactate dehydrogenase test', u'Laser therapy for cancer', u'Lymphangiogram', u'Malignant teratoma', u'Peutz-Jeghers syndrome', u'Photodynamic therapy for cancer', u'Pleural fluid analysis', u'Protein electrophoresis - serum', u""Talking with a child about a parent's terminal illness"", u'Targeted therapies for cancer', u'Targeted therapy: questions to ask your doctor', u'Tumor', u'Understanding cancer staging', u'Understanding your cancer prognosis', u'Upper airway biopsy', u'What if cancer comes back?', u'When your cancer treatment stops working', u'Your cancer care team', u'Your cancer diagnosis: Do you need a second opinion?', u'Cancer Alternative Therapies', u'Cancer Chemotherapy', u'Cancer Immunotherapy', u'Cancer--Living with Cancer', u'Radiation Therapy', u'Tumors and Pregnancy']"
17,Cancer and Pregnancy,National Cancer Institute,Cancers,Tumors and Pregnancy,"[u'Detecting and Treating Thyroid Nodules and Cancer Before, During, and After Pregnancy', u'Molar Pregnancy', u'Pheochromocytoma during Pregnancy', u'Choriocarcinoma', u'Gestational trophoblastic disease', u'Hydatidiform mole']"
18,Cancer Chemotherapy,National Cancer Institute,Cancers,Cancer Chemotherapy,"[u'Oral Chemotherapy: What You Need to Know', u'Targeted Cancer Therapies', u'Vascular Access Procedures', u'After chemotherapy - discharge', u'Central venous catheter - dressing change', u'Central venous catheter - flushing', u'Central venous catheters - ports', u'Chemotherapy - what to ask your doctor', u'Low white blood cell count and cancer', u'Oral mucositis', u'Peripherally inserted central catheter - flushing', u'Types of chemotherapy', u'Cancer', u'Cancer Alternative Therapies']"
19,Cancer Immunotherapy,National Cancer Institute,Cancers,Cancer Immunotherapy,[]
20,Cancer in Children,National Cancer Institute,Cancers,Cancer in Children,"[u'General Information about Childhood Extracranial Germ Cell Tumors', u'Other Rare Unusual Cancers of Childhood', u'Unusual Cancers of the Abdomen', u'Unusual Cancers of the Chest', u'Unusual Cancers of the Head and Neck', u'Unusual Cancers of the Reproductive and Urinary Systems', u'What Are the Most Common Types of Childhood Cancers?', u'A guide to help children understand cancer', u'After chemotherapy - discharge', u""Children's cancer centers"", u'Eating extra calories when you are sick - children', u'Getting support when your child has cancer', u'Helping your child understand a cancer diagnosis', u'How childhood cancers are different from adult cancers', u""Questions to ask your child's doctor"", u'Rhabdomyosarcoma', u'Treatment for childhood cancer -- long-term risks', u""When your child's treatment stops working"", u'Childhood Brain Tumors', u'Childhood Leukemia', u'Neuroblastoma', u'Wilms Tumor']"
